,Score,Averagescores
325,-610.3,-320.80900000000094
326,-600.8000000000001,-324.76700000000096
327,-45.00000000000068,-321.33700000000096
328,-49.000000000000554,-317.81600000000094
329,-400.800000000002,-317.81800000000095
330,-401.10000000000207,-317.8190000000009
331,-280.9999999999999,-316.62100000000095
332,-656.9000000000007,-322.6800000000009
333,-400.30000000000206,-326.14300000000094
334,-272.9999999999997,-324.86200000000093
335,-206.99999999999972,-322.9280000000009
336,-315.0000000000005,-325.3880000000009
337,-400.200000000002,-326.8400000000009
338,-391.00000000000193,-326.7400000000009
339,-598.2,-328.7200000000009
340,-401.10000000000207,-328.72700000000094
341,-222.9999999999995,-328.3070000000009
342,-52.00000000000065,-328.3470000000009
343,-629.3000000000003,-330.63000000000085
344,-110.00000000000018,-328.5300000000009
345,-647.5000000000006,-330.9990000000009
346,-268.0000000000012,-329.67300000000085
347,-352.00000000000125,-332.68300000000085
348,-369.0000000000016,-330.3910000000009
349,-400.100000000002,-328.4100000000008
350,-273.9999999999998,-328.0100000000008
351,-239.9999999999995,-326.40000000000083
352,-637.2000000000004,-328.76700000000085
353,-400.900000000002,-329.99600000000095
354,-400.400000000002,-333.45000000000095
355,-400.20000000000203,-333.44500000000096
356,-115.00000000000007,-330.93500000000085
357,-400.9000000000022,-330.9330000000009
358,-197.99999999999974,-326.8920000000009
359,-598.2,-331.8740000000008
360,-400.400000000002,-335.3980000000008
361,-47.00000000000056,-331.86100000000084
362,-400.400000000002,-329.8830000000009
363,-400.4000000000021,-329.8830000000009
364,-398.00000000000216,-333.2830000000009
365,-232.99999999999957,-331.6020000000008
366,-400.80000000000206,-331.93000000000086
367,-400.60000000000207,-335.45600000000087
368,-612.2,-335.59600000000086
369,-97.00000000000045,-335.9960000000008
370,-400.100000000002,-335.98800000000085
371,-293.0000000000001,-334.9580000000008
372,-388.000000000002,-336.13800000000083
373,-270.0000000000023,-334.8300000000009
374,-620.7,-337.12700000000086
375,-236.99999999999957,-333.3780000000009
376,-401.10000000000207,-333.3850000000009
377,-400.4000000000021,-336.1490000000008
378,-84.9999999999996,-332.99500000000086
379,-400.6000000000021,-333.00000000000085
380,-739.8999999999991,-336.39200000000085
381,-626.1000000000003,-342.1530000000008
382,-400.50000000000216,-345.49800000000084
383,-54.000000000000604,-342.0350000000008
384,-370.00000000000153,-341.7650000000007
385,-400.6000000000021,-341.7650000000008
386,-357.00000000000136,-342.86500000000075
387,-642.9000000000004,-343.31200000000086
388,-598.2,-346.60400000000084
389,-71.00000000000004,-346.7440000000008
390,-125.00000000000026,-341.9730000000008
391,-253.99999999999932,-340.5040000000008
392,-300.00000000000637,-339.5030000000009
393,-51.00000000000068,-337.6230000000009
394,-264.9999999999996,-336.26700000000085
395,-226.99999999999957,-336.51700000000085
396,-57.00000000000063,-333.0840000000008
397,-400.5000000000022,-333.0810000000008
398,-182.99999999999974,-334.2210000000008
